[공통 DB 연결] process.env.DB_NAME: bettingDB
[업서트] J리그 | Port Adelaide Football Club vs Carlton Football Club | null - null | status: scheduled | result: pending
[업서트] J리그 | Colorado Rockies vs Los Angeles Dodgers | 1 - 8 | status: finished | result: away_win
[업서트] J리그 | San Francisco Giants vs Miami Marlins | 5 - 8 | status: finished | result: away_win
[업서트] J리그 | Minnesota Twins vs Seattle Mariners | null - null | status: scheduled | result: pending
[업서트] J리그 | St. Louis Cardinals vs Chicago Cubs | null - null | status: scheduled | result: pending
[업서트] J리그 | San Francisco Giants vs Miami Marlins | null - null | status: scheduled | result: pending
[업서트] J리그 | Colorado Rockies vs Los Angeles Dodgers | null - null | status: scheduled | result: pending
[업서트] J리그 | Houston Astros vs Philadelphia Phillies | null - null | status: scheduled | result: pending
[업서트] J리그 | Kansas City Royals vs Tampa Bay Rays | null - null | status: scheduled | result: pending
[업서트] J리그 | New York Mets vs Atlanta Braves | null - null | status: scheduled | result: pending
[업서트] J리그 | Cleveland Guardians vs Toronto Blue Jays | null - null | status: scheduled | result: pending
[업서트] J리그 | Hoofddorp Pioniers vs L and D Amsterdam | null - null | status: scheduled | result: pending
[업서트] J리그 | UVV Utrecht vs HCAW | null - null | status: scheduled | result: pending
[업서트] J리그 | Guerreros de Oaxaca vs Tigres de Quintana Roo | 8 - 12 | status: finished | result: away_win
[업서트] J리그 | Toros de Tijuana vs Algodoneros de Unión Laguna | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Saraperos de Saltillo vs Rieleros de Aguascalientes | 5 - 20 | status: finished | result: away_win
[업서트] J리그 | Pericos de Puebla vs Conspiradores de Querétaro | 6 - 4 | status: finished | result: home_win
[업서트] J리그 | El Águila de Veracruz vs Leones de Yucatán | 5 - 11 | status: finished | result: away_win
[업서트] J리그 | Las Vegas Aviators vs Albuquerque Isotopes | 13 - 2 | status: finished | result: home_win
[업서트] J리그 | Acereros de Monclova vs Dorados de Chihuahua | 1 - 6 | status: finished | result: away_win
[업서트] J리그 | Tecolotes de los Dos Laredos vs Charros de Jalisco | 4 - 3 | status: finished | result: home_win
[업서트] J리그 | Samsung Lions vs Hanwha Eagles | null - null | status: scheduled | result: pending
[업서트] J리그 | NC Dinos vs Lotte Giants | null - null | status: scheduled | result: pending
[업서트] J리그 | KT Wiz vs LG Twins | null - null | status: scheduled | result: pending
[업서트] J리그 | Kiwoom Heroes vs Kia Tigers | null - null | status: scheduled | result: pending
[업서트] J리그 | Doosan Bears vs SSG Landers | null - null | status: scheduled | result: pending
[업서트] J리그 | Sultanes de Monterrey vs Caliente de Durango | 5 - 1 | status: finished | result: home_win
[업서트] J리그 | Norfolk Tides vs Gwinnett Stripers | null - null | status: scheduled | result: pending
[업서트] J리그 | Round Rock Express vs Tacoma Rainiers | 13 - 4 | status: finished | result: home_win
[업서트] J리그 | Fubon Guardians vs Rakuten Monkeys | null - null | status: scheduled | result: pending
[업서트] J리그 | Uni-President Lions vs TSG Hawks | null - null | status: scheduled | result: pending
[업서트] J리그 | Detroit Tigers vs Athletics | null - null | status: scheduled | result: pending
[업서트] J리그 | Houston Astros vs Philadelphia Phillies | 2 - null | status: finished | result: pending
[업서트] J리그 | Iowa Cubs vs Columbus Clippers | null - null | status: scheduled | result: pending
[업서트] J리그 | Piratas de Campeche vs Diablos Rojos del México | null - null | status: postponed | result: pending
[업서트] J리그 | El Paso Chihuahuas vs Sugar Land Space Cowboys | 14 - 8 | status: finished | result: home_win
[업서트] J리그 | Buffalo Bisons vs Lehigh Valley IronPigs | null - null | status: scheduled | result: pending
[업서트] J리그 | Toledo Mud Hens vs Charlotte Knights | null - null | status: scheduled | result: pending
[업서트] J리그 | Indianapolis Indians vs Omaha Storm Chasers | null - null | status: scheduled | result: pending
[업서트] J리그 | Rochester Red Wings vs Syracuse Mets | null - null | status: scheduled | result: pending
[업서트] J리그 | Scranton-Wilkes-Barre RailRiders vs Worcester Red Sox | null - null | status: scheduled | result: pending
[업서트] J리그 | Durham Bulls vs Memphis Redbirds | null - null | status: scheduled | result: pending
[업서트] J리그 | Franklin Bulls vs Manawatu Jets | null - null | status: scheduled | result: pending
[업서트] J리그 | Las Vegas Aces vs Connecticut Sun | 85 - 59 | status: finished | result: home_win
[업서트] J리그 | Golden State Valkyries vs New York Liberty | 78 - 81 | status: finished | result: away_win
[업서트] J리그 | Indiana Fever vs Los Angeles Sparks | null - null | status: scheduled | result: pending
[업서트] J리그 | Bayern München Basketball vs Ulm | null - null | status: scheduled | result: pending
[업서트] J리그 | Leinster Lightning vs Northern Knights | null - null | status: scheduled | result: pending
[업서트] J리그 | Munster Reds vs North West Warriors | null - null | status: scheduled | result: pending
[업서트] J리그 | San Francisco Unicorns vs Seattle Orcas | 176 - 144 | status: finished | result: home_win
[업서트] J리그 | Penrith Panthers vs Canterbury Bankstown Bulldogs | null - null | status: scheduled | result: pending
[업서트] J리그 | FC Dallas vs San Jose Earthquakes | 2 - 4 | status: finished | result: away_win
[업서트] J리그 | Sporting Kansas City vs Charlotte FC | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Minnesota United vs Houston Dynamo | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | St. Louis City SC vs Orlando City | 2 - 4 | status: finished | result: away_win
[업서트] J리그 | Colorado Rapids vs LA Galaxy | 2 - 0 | status: scheduled | result: home_win
[업서트] J리그 | Vancouver Whitecaps vs San Diego FC | 3 - 5 | status: finished | result: away_win
[업서트] J리그 | Urawa Red Diamonds vs Monterrey | 0 - 4 | status: finished | result: away_win
[업서트] J리그 | Inter Milan vs River Plate | 2 - 0 | status: finished | result: home_win
[업서트] J리그 | Juventus vs Manchester City | null - null | status: scheduled | result: pending
[업서트] J리그 | Wydad Casablanca vs Al Ain | null - null | status: scheduled | result: pending
[업서트] J리그 | Union Omaha vs Richmond Kickers | 3 - 4 | status: finished | result: away_win
[업서트] J리그 | Njarðvík vs Keflavík | null - null | status: scheduled | result: pending
[업서트] J리그 | Skála ÍF vs B36 Tórshavn II | null - null | status: scheduled | result: pending
[업서트] J리그 | Universidad Católica del Ecuador vs Emelec | 1 - 1 | status: finished | result: draw
[업서트] J리그 | Norway Women vs Sweden Women | null - null | status: scheduled | result: pending
[업서트] J리그 | Xorazm Urganch vs Andijon | null - null | status: scheduled | result: pending
[업서트] J리그 | Shire Endaselassie vs Ethiopian Medhin | null - null | status: scheduled | result: pending
[업서트] J리그 | Philadelphia Union II vs New England Revolution II | null - null | status: scheduled | result: pending
[업서트] J리그 | Los Angeles FC II vs Minnesota United FC 2 | 1 - 0 | status: finished | result: home_win
[업서트] J리그 | Norrby vs Torslanda | null - null | status: scheduled | result: pending
[업서트] J리그 | Casa Sport vs Guédiawaye FC | null - null | status: scheduled | result: pending
[업서트] J리그 | BFC Daugavpils vs Grobiņas SC-LFS | null - null | status: scheduled | result: pending
[업서트] J리그 | Cong An Nhan Dan FC vs Viettel | null - null | status: scheduled | result: pending
[업서트] J리그 | Hill Country Lobos vs Corpus Christi FC | 2 - 2 | status: finished | result: draw
[업서트] J리그 | Tigre vs Banfield | null - null | status: scheduled | result: pending
