[공통 DB 연결] process.env.DB_NAME: bettingDB
[업서트] JLEAGUE | Port Adelaide Football Club vs Carlton Football Club | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Colorado Rockies vs Los Angeles Dodgers | 1 - 8 | status: finished | result: away_win
[업서트] JLEAGUE | San Francisco Giants vs Miami Marlins | 5 - 8 | status: finished | result: away_win
[업서트] JLEAGUE | Minnesota Twins vs Seattle Mariners | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | St. Louis Cardinals vs Chicago Cubs | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | San Francisco Giants vs Miami Marlins | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Colorado Rockies vs Los Angeles Dodgers | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Houston Astros vs Philadelphia Phillies | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Kansas City Royals vs Tampa Bay Rays | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | New York Mets vs Atlanta Braves | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Cleveland Guardians vs Toronto Blue Jays | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Hoofddorp Pioniers vs L and D Amsterdam | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | UVV Utrecht vs HCAW | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Guerreros de Oaxaca vs Tigres de Quintana Roo | 8 - 12 | status: finished | result: away_win
[업서트] JLEAGUE | Toros de Tijuana vs Algodoneros de Unión Laguna | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Saraperos de Saltillo vs Rieleros de Aguascalientes | 5 - 20 | status: finished | result: away_win
[업서트] JLEAGUE | Pericos de Puebla vs Conspiradores de Querétaro | 6 - 4 | status: finished | result: home_win
[업서트] JLEAGUE | El Águila de Veracruz vs Leones de Yucatán | 5 - 11 | status: finished | result: away_win
[업서트] JLEAGUE | Las Vegas Aviators vs Albuquerque Isotopes | 13 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Acereros de Monclova vs Dorados de Chihuahua | 1 - 6 | status: finished | result: away_win
[업서트] JLEAGUE | Tecolotes de los Dos Laredos vs Charros de Jalisco | 4 - 3 | status: finished | result: home_win
[업서트] JLEAGUE | Samsung Lions vs Hanwha Eagles | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | NC Dinos vs Lotte Giants | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | KT Wiz vs LG Twins | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Kiwoom Heroes vs Kia Tigers | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Doosan Bears vs SSG Landers | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Sultanes de Monterrey vs Caliente de Durango | 5 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Norfolk Tides vs Gwinnett Stripers | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Round Rock Express vs Tacoma Rainiers | 13 - 4 | status: finished | result: home_win
[업서트] JLEAGUE | Fubon Guardians vs Rakuten Monkeys | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Uni-President Lions vs TSG Hawks | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Detroit Tigers vs Athletics | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Houston Astros vs Philadelphia Phillies | 2 - null | status: finished | result: pending
[업서트] JLEAGUE | Iowa Cubs vs Columbus Clippers | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Piratas de Campeche vs Diablos Rojos del México | null - null | status: postponed | result: pending
[업서트] JLEAGUE | El Paso Chihuahuas vs Sugar Land Space Cowboys | 14 - 8 | status: finished | result: home_win
[업서트] JLEAGUE | Buffalo Bisons vs Lehigh Valley IronPigs | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Toledo Mud Hens vs Charlotte Knights | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Indianapolis Indians vs Omaha Storm Chasers | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Rochester Red Wings vs Syracuse Mets | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Scranton-Wilkes-Barre RailRiders vs Worcester Red Sox | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Durham Bulls vs Memphis Redbirds | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Franklin Bulls vs Manawatu Jets | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Las Vegas Aces vs Connecticut Sun | 85 - 59 | status: finished | result: home_win
[업서트] JLEAGUE | Golden State Valkyries vs New York Liberty | 78 - 81 | status: finished | result: away_win
[업서트] JLEAGUE | Indiana Fever vs Los Angeles Sparks | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Bayern München Basketball vs Ulm | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Leinster Lightning vs Northern Knights | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Munster Reds vs North West Warriors | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | San Francisco Unicorns vs Seattle Orcas | 176 - 144 | status: finished | result: home_win
[업서트] JLEAGUE | Penrith Panthers vs Canterbury Bankstown Bulldogs | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | FC Dallas vs San Jose Earthquakes | 2 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Sporting Kansas City vs Charlotte FC | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Minnesota United vs Houston Dynamo | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | St. Louis City SC vs Orlando City | 2 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Colorado Rapids vs LA Galaxy | 2 - 0 | status: scheduled | result: home_win
[업서트] JLEAGUE | Vancouver Whitecaps vs San Diego FC | 3 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | Urawa Red Diamonds vs Monterrey | 0 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Inter Milan vs River Plate | 2 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Juventus vs Manchester City | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Wydad Casablanca vs Al Ain | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Union Omaha vs Richmond Kickers | 3 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Njarðvík vs Keflavík | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Skála ÍF vs B36 Tórshavn II | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Universidad Católica del Ecuador vs Emelec | 1 - 1 | status: finished | result: draw
[업서트] JLEAGUE | Norway Women vs Sweden Women | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Xorazm Urganch vs Andijon | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Shire Endaselassie vs Ethiopian Medhin | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Philadelphia Union II vs New England Revolution II | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Los Angeles FC II vs Minnesota United FC 2 | 1 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Norrby vs Torslanda | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Casa Sport vs Guédiawaye FC | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | BFC Daugavpils vs Grobiņas SC-LFS | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Cong An Nhan Dan FC vs Viettel | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Hill Country Lobos vs Corpus Christi FC | 2 - 2 | status: finished | result: draw
[업서트] JLEAGUE | Tigre vs Banfield | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Husqvarna FF vs Lunds BK | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Charlottesville Blues vs Lionsbridge FC | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Apotheos FC vs Dothan United | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | AC Houston Sur vs Twin City Toucans | 0 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | AHFC Royals vs GFI Academy | 4 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Louisiana Krewe vs Denton Diablos | 3 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Birmingham Legion 2 vs Tennessee SC | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Sunflower State vs Santafé Wanderers | 2 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Patuxent Football Athletics vs Northern Virginia FC | 0 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Yunnan Yukun vs Henan FC | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | McKinney Chupacabras vs Little Rock Rangers | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Bigfoot FC vs FC Olympia | 2 - 2 | status: finished | result: draw
[업서트] JLEAGUE | San Francisco City FC vs Marin FC Legends | 1 - 2 | status: finished | result: away_win
[업서트] JLEAGUE | AMSG FC vs Coachella SC | 15 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | CISA vs Colorado Storm | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Switzerland Women vs Czechia Women | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Jazz vs PKKU | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Song Lam Nghe An vs Binh Duong | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Atlético Vinotinto vs Guayaquil City | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Netherlands Women vs Finland Women | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Shanghai Port vs Dalian Yingbo | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Atlético Grau vs Universitario | 0 - 2 | status: finished | result: away_win
[업서트] JLEAGUE | Australia Women vs Slovenia Women | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Poland Women vs Ukraine Women | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | DCMP Imana vs Vita Club | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | TP Mazembe vs JS Kinshasa | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Maniema Union vs Saint-Éloi Lupopo | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Belgium Women vs Greece Women | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Rostocker FC vs Hansa Rostock | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | FC Midtjylland vs Silkeborg IF | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Chicago Fire vs Philadelphia Union | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Paks vs Szeged-Csanád | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Noah vs DAC 1904 Dunajská Streda | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Sparta Prague vs Slovan Bratislava | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Imbabura vs Cumbayá | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Bourj vs Chabab Ghazieh | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Sagesse SC vs Tadamon Sour | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Safa vs Nejmeh SC | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | FS Jelgava vs RFS | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Spain U19 vs Netherlands U19 | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Paraguay U17 vs Turkey U17 | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Venezuela U17 vs Chile U17 | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Gorée vs AJEL Rufisque | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Teungueth vs Ouakam | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Pikine vs ASC HLM | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | ASC Linguère vs Oslo FA | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Génération Foot vs Jamono Fatick | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Dakar Sacré Coeur vs Wally Daan | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Jaraaf vs Sonacos | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | China Volleyball vs USA Volleyball | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | France Volleyball vs Japan Volleyball | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Netherlands Volleyball vs Germany Volleyball | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Serbia Volleyball vs Cuba Volleyball | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Brazil Volleyball vs China Volleyball | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Turkey Volleyball vs Ukraine Volleyball | null - null | status: scheduled | result: pending
[결과 없음] 2025-06-18 | Hanwha Eagles vs Doosan Bears | 원인 추론: 팀명/리그명 정규화 불일치 가능성, SportsDB API에 해당 경기 데이터 미존재, 경기 날짜/시간대(UTC/KST) 불일치 가능성, 리그ID/리그명 매핑 오류 가능성
[업서트] JLEAGUE | Houston Astros vs Philadelphia Phillies | 1 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | San Diego Padres vs Washington Nationals | 4 - 3 | status: finished | result: home_win
[업서트] JLEAGUE | Colorado Rockies vs Los Angeles Dodgers | 7 - 9 | status: finished | result: away_win
[업서트] JLEAGUE | Los Angeles Angels vs Boston Red Sox | 3 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | San Francisco Giants vs Miami Marlins | 2 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Milwaukee Brewers vs Pittsburgh Pirates | 4 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | San Diego Padres vs Washington Nationals | 1 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | New York Mets vs Atlanta Braves | 7 - 3 | status: finished | result: home_win
[업서트] JLEAGUE | Kansas City Royals vs Tampa Bay Rays | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Cincinnati Reds vs New York Yankees | 1 - 7 | status: finished | result: away_win
[업서트] JLEAGUE | Cleveland Guardians vs Toronto Blue Jays | 5 - 4 | status: finished | result: home_win
[업서트] JLEAGUE | Chicago White Sox vs Arizona Diamondbacks | 7 - 3 | status: finished | result: home_win
[업서트] JLEAGUE | Baltimore Orioles vs Texas Rangers | 0 - 7 | status: finished | result: away_win
[업서트] JLEAGUE | Los Angeles Angels vs Boston Red Sox | 5 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Minnesota Twins vs Seattle Mariners | 2 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | St. Louis Cardinals vs Chicago Cubs | 0 - 8 | status: finished | result: away_win
[업서트] JLEAGUE | Samsung Lions vs Hanwha Eagles | 7 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Acereros de Monclova vs Dorados de Chihuahua | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Tecolotes de los Dos Laredos vs Charros de Jalisco | 9 - 5 | status: finished | result: home_win
[업서트] JLEAGUE | Doosan Bears vs SSG Landers | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Durham Bulls vs Memphis Redbirds | 2 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Sultanes de Monterrey vs Caliente de Durango | 5 - 3 | status: finished | result: home_win
[업서트] JLEAGUE | Kiwoom Heroes vs Kia Tigers | 3 - 6 | status: finished | result: away_win
[업서트] JLEAGUE | Piratas de Campeche vs Diablos Rojos del México | 4 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | El Paso Chihuahuas vs Sugar Land Space Cowboys | 6 - 5 | status: finished | result: home_win
[업서트] JLEAGUE | Fubon Guardians vs Rakuten Monkeys | 2 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | KT Wiz vs LG Twins | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Norfolk Tides vs Gwinnett Stripers | 5 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Detroit Tigers vs Athletics | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Las Vegas Aviators vs Albuquerque Isotopes | 6 - 11 | status: finished | result: away_win
[업서트] JLEAGUE | Reno Aces vs Salt Lake Bees | 18 - 15 | status: finished | result: home_win
[업서트] JLEAGUE | Round Rock Express vs Tacoma Rainiers | 3 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | Sacramento River Cats vs Oklahoma City Comets | 2 - 13 | status: finished | result: away_win
[업서트] JLEAGUE | Reno Aces vs Salt Lake Bees | 6 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Sacramento River Cats vs Oklahoma City Comets | 0 - 16 | status: finished | result: away_win
[업서트] JLEAGUE | St. Paul Saints vs Louisville Bats | 6 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Toledo Mud Hens vs Charlotte Knights | 3 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Buffalo Bisons vs Lehigh Valley IronPigs | 1 - 7 | status: finished | result: away_win
[업서트] JLEAGUE | Rochester Red Wings vs Syracuse Mets | 1 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | Iowa Cubs vs Columbus Clippers | 7 - 8 | status: finished | result: away_win
[업서트] JLEAGUE | Indianapolis Indians vs Omaha Storm Chasers | 5 - 7 | status: finished | result: away_win
[업서트] JLEAGUE | St. Paul Saints vs Louisville Bats | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Scranton-Wilkes-Barre RailRiders vs Worcester Red Sox | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Toros de Tijuana vs Algodoneros de Unión Laguna | 2 - 14 | status: finished | result: away_win
[업서트] JLEAGUE | Pericos de Puebla vs Conspiradores de Querétaro | 6 - 7 | status: finished | result: away_win
[업서트] JLEAGUE | El Águila de Veracruz vs Leones de Yucatán | 5 - 3 | status: finished | result: home_win
[업서트] JLEAGUE | NC Dinos vs Lotte Giants | 7 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Saraperos de Saltillo vs Rieleros de Aguascalientes | 12 - 11 | status: finished | result: home_win
[업서트] JLEAGUE | Guerreros de Oaxaca vs Tigres de Quintana Roo | 3 - 8 | status: finished | result: away_win
[업서트] JLEAGUE | Chicago Sky vs Los Angeles Sparks | 97 - 86 | status: finished | result: home_win
[업서트] JLEAGUE | Dallas Wings vs Atlanta Dream | 68 - 55 | status: finished | result: home_win
[업서트] JLEAGUE | Washington Mystics vs Minnesota Lynx | 68 - 64 | status: finished | result: home_win
[업서트] JLEAGUE | Seattle Storm vs Indiana Fever | 86 - 94 | status: finished | result: away_win
[업서트] JLEAGUE | Nelson Giants vs Auckland Tuatara | 104 - 85 | status: finished | result: home_win
[업서트] JLEAGUE | Fenerbahçe Basketbol vs Besiktas Basketbol | 84 - 68 | status: finished | result: home_win
[업서트] JLEAGUE | Valencia Basket vs Real Madrid Baloncesto | 70 - 81 | status: finished | result: away_win
[업서트] JLEAGUE | Belgium Basketball Women vs Germany Basketball Women | 83 - 59 | status: finished | result: home_win
[업서트] JLEAGUE | Boca Juniors vs Quimsa | 87 - 70 | status: finished | result: home_win
[업서트] JLEAGUE | Spain Basketball Women vs Czech Republic Basketball Women | 88 - 81 | status: finished | result: home_win
[업서트] JLEAGUE | Regatas Corrientes vs Instituto de Cordoba | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Texas Super Kings vs Los Angeles Knight Riders | 196 - 144 | status: finished | result: home_win
[업서트] JLEAGUE | Munster Reds vs Northern Knights | 152 - 177 | status: finished | result: away_win
[업서트] JLEAGUE | Leinster Lightning vs North West Warriors | 147 - 143 | status: finished | result: home_win
[업서트] JLEAGUE | Germany Hockey vs Australia Hockey | 5 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | New Lambton vs Lambton Jaffas | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Maitland vs Cooks Hill United | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Valentine vs Adamstown Rosebud | 2 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Edgeworth vs Belmont Swansea United | 4 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Weston Bears vs Newcastle Olympic | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Columbus Crew vs Atlanta United | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | New England Revolution vs Nashville SC | 2 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Toronto FC vs New York Red Bulls | 1 - 1 | status: finished | result: draw
[업서트] JLEAGUE | Loudoun United vs Louisville City | 1 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Tampa Bay Rowdies vs Indy Eleven | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Kawasaki Frontale vs Albirex Niigata | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Yokohama F Marinos vs FC Tokyo | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Eastern Suburbs FC vs Brisbane Roar Youth | 3 - 3 | status: finished | result: draw
[업서트] JLEAGUE | Moreton City Excelsior vs Gold Coast United | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Olympic FC vs Sunshine Coast Wanderers | 0 - 0 | status: finished | result: draw
[업서트] JLEAGUE | Peninsula Power vs Wynnum Wolves | 1 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Espérance de Tunis vs Chelsea | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Borussia Dortmund vs Ulsan HD | 1 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Mamelodi Sundowns vs Fluminense | 0 - 0 | status: finished | result: draw
[업서트] JLEAGUE | South Georgia Tormenta vs FC Naples | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Shanghai Shenhua vs Tianjin Jinmen Tiger | 3 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Qingdao Hainiu vs Zhejiang Professional | 0 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Shandong Taishan vs Wuhan Three Towns | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Changchun Yatai vs Qingdao West Coast | 1 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Meizhou Hakka vs Beijing Guoan | 0 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Chengdu Rongcheng vs Shenzhen Peng City | 5 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Al-Zawraa vs Al-Minaa | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Al-Shorta SC vs Al-Hudood | 3 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Ghana Women vs Benin Women | 4 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Latvia U17 vs Finland U17 | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Estonia U17 vs Lithuania U17 | 1 - 2 | status: finished | result: away_win
[업서트] JLEAGUE | Mali U17 vs Burkina Faso U17 | 5 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Al-Shorta vs Al-Hudood | 3 - 1 | status: scheduled | result: home_win
[업서트] JLEAGUE | Kalamazoo FC vs Northern Indiana | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | OshSU Aldier vs Ilbirs Bishkek | 4 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Greater Tomorrow vs TMT | null - null | status: postponed | result: pending
[업서트] JLEAGUE | BST Galaxy vs Steve Biko | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Fortune vs Banjul United | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Real de Banjul vs Team Rhino | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Hart Academy vs SP Falcons | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Bombada vs Banjul Hawks | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Brikama United vs Gambian Dutch Lions | null - null | status: postponed | result: pending
