[공통 DB 연결] process.env.DB_NAME: bettingDB
[누락리그] K리그1의 SportsDB 리그ID를 찾을 수 없음
[정규화] Los Angeles Dodgers vs San Diego Padres | main: soccer | sub: KLEAGUE1
[정규화] HCAW vs Hoofddorp Pioniers | main: soccer | sub: KLEAGUE1
[정규화] Chunichi Dragons vs Orix Buffaloes | main: soccer | sub: KLEAGUE1
[정규화] Hanshin Tigers vs Chiba Lotte Marines | main: soccer | sub: KLEAGUE1
[정규화] Hiroshima Toyo Carp vs Fukuoka SoftBank Hawks | main: soccer | sub: KLEAGUE1
[정규화] Tokyo Yakult Swallows vs Tohoku Rakuten Golden Eagles | main: soccer | sub: KLEAGUE1
[정규화] Seattle Mariners vs Boston Red Sox | main: soccer | sub: KLEAGUE1
[정규화] Miami Marlins vs Philadelphia Phillies | main: soccer | sub: KLEAGUE1
[정규화] Washington Nationals vs Colorado Rockies | main: soccer | sub: KLEAGUE1
[정규화] Tampa Bay Rays vs Baltimore Orioles | main: soccer | sub: KLEAGUE1
[정규화] Detroit Tigers vs Pittsburgh Pirates | main: soccer | sub: KLEAGUE1
[정규화] Cincinnati Reds vs Minnesota Twins | main: soccer | sub: KLEAGUE1
[정규화] Chicago White Sox vs St. Louis Cardinals | main: soccer | sub: KLEAGUE1
[정규화] Atlanta Braves vs New York Mets | main: soccer | sub: KLEAGUE1
[정규화] Hanwha Eagles vs Doosan Bears | main: baseball | sub: KBO
[정규화] KT Wiz vs Lotte Giants | main: baseball | sub: KBO
[정규화] Kia Tigers vs Samsung Lions | main: baseball | sub: KBO
[정규화] Kiwoom Heroes vs NC Dinos | main: baseball | sub: KBO
[정규화] LG Twins vs SSG Landers | main: baseball | sub: KBO
[정규화] Worcester Red Sox vs Buffalo Bisons | main: soccer | sub: KLEAGUE1
[정규화] New York Yankees vs Los Angeles Angels | main: soccer | sub: KLEAGUE1
[정규화] Toronto Blue Jays vs Arizona Diamondbacks | main: soccer | sub: KLEAGUE1
[정규화] Yokohama DeNA BayStars vs Saitama Seibu Lions | main: soccer | sub: KLEAGUE1
[정규화] Port Adelaide Football Club vs Carlton Football Club | main: soccer | sub: JLEAGUE
[정규화] Colorado Rockies vs Los Angeles Dodgers | main: soccer | sub: JLEAGUE
[정규화] Chicago White Sox vs Arizona Diamondbacks | main: soccer | sub: JLEAGUE
[정규화] Chicago Cubs vs Pittsburgh Pirates | main: baseball | sub: MLB
[정규화] Samsung Lions vs KT Wiz | main: baseball | sub: KBO
[정규화] Baltimore Orioles vs Texas Rangers | main: soccer | sub: JLEAGUE
[정규화] Hanwha Eagles vs Doosan Bears | main: baseball | sub: KBO
[정규화] KT Wiz vs Lotte Giants | main: baseball | sub: KBO
[정규화] Kia Tigers vs Samsung Lions | main: baseball | sub: KBO
[정규화] LG Twins vs SSG Landers | main: baseball | sub: KBO
[정규화] Kiwoom Heroes vs NC Dinos | main: baseball | sub: KBO
[정규화] NC Dinos vs Kia Tigers | main: baseball | sub: KBO
[정규화] Chicago Cubs vs Pittsburgh Pirates | main: baseball | sub: MLB
[정규화] Doosan Bears vs Kiwoom Heroes | main: baseball | sub: KBO
[정규화] Hanwha Eagles vs LG Twins | main: baseball | sub: KBO
[정규화] SSG Landers vs Lotte Giants | main: baseball | sub: KBO
[정규화] Texas Rangers vs Kansas City Royals | main: baseball | sub: MLB
[정규화] Texas Rangers vs Kansas City Royals | main: baseball | sub: MLB
[정규화] Lotte Giants vs Hanwha Eagles | main: baseball | sub: KBO
[정규화] Athletics vs Houston Astros | main: baseball | sub: MLB
[정규화] Sugar Land Space Cowboys vs Las Vegas Aviators | main: soccer | sub: KLEAGUE1
[정규화] Yomiuri Giants vs Hokkaido Nippon-Ham Fighters | main: soccer | sub: KLEAGUE1
[정규화] KT Wiz vs NC Dinos | main: baseball | sub: KBO
[정규화] Pericos de Puebla vs Algodoneros de Unión Laguna | main: soccer | sub: KLEAGUE1
[정규화] Charlotte Knights vs Gwinnett Stripers | main: soccer | sub: KLEAGUE1
[정규화] Columbus Clippers vs Indianapolis Indians | main: soccer | sub: KLEAGUE1
[정규화] Samsung Lions vs KT Wiz | main: baseball | sub: KBO
[정규화] Nashville Sounds vs Iowa Cubs | main: soccer | sub: KLEAGUE1
[정규화] UVV Utrecht vs Corendon Kinheim | main: soccer | sub: KLEAGUE1
[정규화] Wei Chuan Dragons vs Rakuten Monkeys | main: soccer | sub: KLEAGUE1
[정규화] Fubon Guardians vs Uni-President Lions | main: soccer | sub: KLEAGUE1
[정규화] TSG Hawks vs CTBC Brothers | main: soccer | sub: KLEAGUE1
[정규화] Athletics vs Houston Astros | main: soccer | sub: KLEAGUE1
[정규화] Oklahoma City Comets vs Round Rock Express | main: soccer | sub: KLEAGUE1
[정규화] Omaha Storm Chasers vs Durham Bulls | main: soccer | sub: KLEAGUE1
[정규화] LG Twins vs NC Dinos | main: baseball | sub: KBO
[정규화] Lotte Giants vs Hanwha Eagles | main: baseball | sub: KBO
[정규화] Kiwoom Heroes vs SSG Landers | main: baseball | sub: KBO
[정규화] Kia Tigers vs KT Wiz | main: baseball | sub: KBO
[정규화] SSG Landers vs Kia Tigers | main: baseball | sub: KBO
[정규화] Los Angeles Angels vs San Diego Padres | main: baseball | sub: MLB
[정규화] Lotte Giants vs Samsung Lions | main: baseball | sub: KBO
[정규화] Pittsburgh Pirates vs Texas Rangers | main: baseball | sub: MLB
[정규화] Samsung Lions vs Doosan Bears | main: baseball | sub: KBO
[정규화] Kiwoom Heroes vs SSG Landers | main: baseball | sub: KBO
[정규화] Kia Tigers vs KT Wiz | main: baseball | sub: KBO
[정규화] Samsung Lions vs Doosan Bears | main: baseball | sub: KBO
[정규화] Lotte Giants vs Hanwha Eagles | main: baseball | sub: KBO
[정규화] Samsung Lions vs Doosan Bears | main: baseball | sub: KBO
[정규화] Lotte Giants vs Hanwha Eagles | main: baseball | sub: KBO
[정규화] Toronto Blue Jays vs Chicago White Sox | main: baseball | sub: MLB
[정규화] Tampa Bay vs Detroit Tigers | main: baseball | sub: MLB
[정규화] Philadelphia Phillies vs New York Yankees | main: baseball | sub: MLB
[정규화] Chicago C vs Seattle M | main: baseball | sub: MLB
[정규화] New York Yankees vs Baltimore | main: baseball | sub: MLB
